epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3948.64,1.47635,3.0965,1.66374,0.55506,0.37161,0.39509,0.26896,1.60718,3.06594,1.77393,0.000331439,0.000331439,0.000331439
2,5288.77,1.46408,2.45984,1.60547,0.4872,0.42481,0.41856,0.2887,1.66112,2.7895,1.83738,0.00065161,0.00065161,0.00065161
3,6467.27,1.49034,2.3373,1.61903,0.36512,0.40368,0.35712,0.25616,1.68542,3.08896,1.86913,0.000958581,0.000958581,0.000958581
4,7641.62,1.51862,2.25771,1.64129,0.46058,0.48426,0.43699,0.30344,1.61638,2.46587,1.7519,0.0009406,0.0009406,0.0009406
5,8799.82,1.44431,2.11292,1.57635,0.61758,0.42615,0.43583,0.30139,1.65731,2.74216,1.86198,0.0009208,0.0009208,0.0009208
6,10069.5,1.41592,2.06668,1.56209,0.61554,0.49846,0.49752,0.35476,1.55699,2.25062,1.75505,0.000901,0.000901,0.000901
7,11139.8,1.41061,1.98154,1.54652,0.52446,0.54079,0.49807,0.36605,1.61002,2.31311,1.76336,0.0008812,0.0008812,0.0008812
